condition,lexicon_gap,out_of_label_space,non_diagnostic,pending
gemma4-26b:zeroshot,0,0,0,32
gemma4-26b:single,0,0,0,15
gemma4-26b:council,0,0,0,11
qwen3.6-27b:zeroshot,0,0,0,25
qwen3.6-27b:single,0,0,0,28
qwen3.6-27b:council,0,0,0,20
qwen3.8-27b:zeroshot,0,0,0,20
qwen3.8-27b:single,0,0,0,13
