model,status,finished_min_rep,cases_all_valid,top1_same_all_three,top1_pairwise_agreement,hit1_r1,hit1_r2,hit1_r3,hit1_sd_across_reps
gemma4-26b,in_progress,0,0,,,0.3111111111111111,0.0,0.0,0.14665918424609875
qwen3.6-27b,in_progress,0,0,,,0.5555555555555556,0.0,0.0,0.2618914004394621
qwen3.8-27b,in_progress,0,0,,,0.044444444444444446,0.0,0.0,0.020951312035156964
